station,city,state,latitude,longitude,last_update,CO,NH3,NO2,O3,PM10,PM25,SO2,state_enc,city_enc
" Indira Nagar, Raebareli - NTPC Unchahar",Raebareli,Uttar_Pradesh,26.207781,81.245571,2026-06-11 15:00:00,28.0,9.0,19.0,83.0,68.0,61.0,13.0,27,204
"15th Mile-Nongthymmai, Byrnihat - Meghalaya PCB",Byrnihat,Meghalaya,26.05374,91.86796,2026-06-11 15:00:00,4.0,4.0,2.0,30.0,151.0,205.0,11.0,16,61
"32Bungalows, Bhilai - CECB",Bhilai,Chhattisgarh,21.194815,81.31477,2026-06-11 15:00:00,10.0,3.0,12.0,52.0,20.0,17.0,10.0,5,44
"AIIMS, Raipur - CECB",Raipur,Chhattisgarh,21.258815,81.578979,2026-06-11 15:00:00,29.0,4.0,7.0,39.0,31.0,23.0,5.0,5,205
"Adarsh Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,26.902909,75.836858,2026-06-11 15:00:00,36.0,6.0,20.0,28.0,114.0,66.0,19.0,22,116
"Airport Area, Indore - IMC",Indore,Madhya Pradesh,22.7289,75.8076,2026-06-11 15:00:00,38.0,4.0,65.0,7.0,68.0,72.0,7.0,14,114
"Alipur, Delhi - DPCC",Delhi,Delhi,28.815329,77.15301,2026-06-11 15:00:00,22.0,12.0,32.0,16.0,256.0,111.0,18.0,6,79
"Ambazari, Nagpur - MPCB",Nagpur,Maharashtra,21.121801,79.04952,2026-06-11 15:00:00,15.0,4.0,20.0,57.0,75.0,50.0,22.0,15,178
"Ambedkar Nagar, Nellore - APPCB ",Nellore,Andhra_Pradesh,14.438164,79.966814,2026-06-11 15:00:00,48.0,6.0,26.0,35.0,59.0,55.0,7.0,0,186
"Amity University, Panchgaon - IITM",Panchgaon,Haryana,28.3153,76.9143,2026-06-11 15:00:00,62.0,9.0,17.0,67.0,130.0,226.0,15.0,8,190
"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra_Pradesh,16.9872867,81.7363176,2026-06-11 15:00:00,27.0,3.0,17.0,24.0,46.0,24.0,6.0,0,207
"Anand Vihar, Delhi - DPCC",Delhi,Delhi,28.647622,77.315809,2026-06-11 15:00:00,38.0,10.0,61.0,35.0,264.0,101.0,14.0,6,79
"Anand Vihar, Hapur - UPPCB",Hapur,Uttar_Pradesh,28.725645,77.749675,2026-06-11 15:00:00,23.0,22.0,20.0,39.0,122.0,49.0,15.0,27,108
"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",Gummidipoondi,TamilNadu,13.4127,80.1081,2026-06-11 15:00:00,25.0,1.0,23.0,30.0,98.0,121.0,27.0,24,100
"Ardhali Bazar, Varanasi - UPPCB",Varanasi,Uttar_Pradesh,25.3505986,82.9083074,2026-06-11 15:00:00,21.0,4.0,41.0,20.0,112.0,98.0,15.0,27,255
"Arumbakkam, Chennai - TNPCB",Chennai,TamilNadu,13.0664,80.2112,2026-06-11 15:00:00,25.0,5.0,18.0,30.0,98.0,35.0,2.0,24,66
"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,28.6701,76.9254,2026-06-11 15:00:00,47.0,13.0,13.0,24.0,125.0,149.0,6.0,8,24
"Asansol Court Area, Asansol - WBPCB",Asansol,West_Bengal,23.685297,86.945968,2026-06-11 15:00:00,26.0,3.0,32.0,46.0,56.0,56.0,12.0,29,18
"Ashok Nagar, Udaipur - RSPCB",Udaipur,Rajasthan,24.5886166,73.6321397,2026-06-11 15:00:00,21.0,3.0,40.0,24.0,124.0,90.0,9.0,22,250
"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,28.695381,77.181665,2026-06-11 15:00:00,25.0,8.0,43.0,28.0,173.0,65.0,16.0,6,79
"Ashta Vinayak Nagar, Hingoli - MPCB",Hingoli,Maharashtra,19.710842,77.151824,2026-06-11 15:00:00,10.0,4.0,13.0,76.0,78.0,36.0,4.0,15,109
"Aya Nagar, Delhi - IITM",Delhi,Delhi,28.4706914,77.1099364,2026-06-11 15:00:00,74.0,4.0,17.0,41.0,128.0,44.0,11.0,6,79
"B R Ambedkar University, Lucknow - UPPCB",Lucknow,Uttar_Pradesh,26.766433,80.927299,2026-06-11 15:00:00,24.0,3.0,12.0,64.0,89.0,50.0,28.0,27,152
"BTM Layout, Bengaluru - CPCB",Bengaluru,Karnataka,12.9135218,77.5950804,2026-06-11 15:00:00,56.0,3.0,19.0,28.0,64.0,33.0,16.0,12,39
"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,Karnataka,12.9352049,77.6814488,2026-06-11 15:00:00,38.0,1.0,4.0,26.0,94.0,65.0,6.0,12,39
"Ballygunge, Kolkata - WBPCB",Kolkata,West_Bengal,22.5367507,88.3638022,2026-06-11 15:00:00,18.0,8.0,24.0,21.0,43.0,34.0,7.0,29,145
"Bamboliya, Baran - RSPCB",Baran,Rajasthan,25.106006,76.469948,2026-06-11 15:00:00,86.0,5.0,14.0,41.0,97.0,61.0,7.0,22,28
"Bandra Kurla Complex, Mumbai - IITM",Mumbai,Maharashtra,19.053536,72.84643,2026-06-11 15:00:00,40.0,3.0,6.0,12.0,84.0,22.0,3.0,15,171
