country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","11-06-2026 15:00:00",22.348441,82.549611,PM10,25,95,58
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","11-06-2026 15:00:00",22.348441,82.549611,SO2,10,18,14
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","11-06-2026 15:00:00",22.348441,82.549611,CO,18,18,18
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","11-06-2026 15:00:00",22.126650,83.483212,OZONE,3,50,32
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","11-06-2026 15:00:00",22.1910172,83.5197009,NO2,30,68,47
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","11-06-2026 15:00:00",21.258815,81.578979,PM2.5,16,35,23
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","11-06-2026 15:00:00",21.219665,81.630094,PM10,NA,NA,NA
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","11-06-2026 15:00:00",21.237755,81.705301,PM2.5,13,43,24
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","11-06-2026 15:00:00",21.237755,81.705301,NO2,1,10,4
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","11-06-2026 15:00:00",21.237755,81.705301,CO,8,28,15
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","11-06-2026 15:00:00",21.371751,81.664929,CO,17,17,17
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","11-06-2026 15:00:00",22.06631475,83.33820077,NH3,1,3,2
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","11-06-2026 15:00:00",22.06631475,83.33820077,OZONE,NA,NA,NA
India,Delhi,Delhi,"Alipur, Delhi - DPCC","11-06-2026 15:00:00",28.815329,77.153010,CO,12,77,22
India,Bihar,Patna,"Muradpur, Patna - BSPCB","11-06-2026 15:00:00",25.619651,85.147382,NO2,3,4,3
India,Bihar,Patna,"Muradpur, Patna - BSPCB","11-06-2026 15:00:00",25.619651,85.147382,CO,39,83,49
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","11-06-2026 15:00:00",25.599486,85.113666,PM10,24,82,59
India,Bihar,Patna,"Samanpura, Patna - BSPCB","11-06-2026 15:00:00",25.596727,85.085624,PM2.5,45,130,75
India,Bihar,Patna,"Samanpura, Patna - BSPCB","11-06-2026 15:00:00",25.596727,85.085624,PM10,68,130,102
India,Bihar,Patna,"Samanpura, Patna - BSPCB","11-06-2026 15:00:00",25.596727,85.085624,NH3,4,6,4
India,Bihar,Patna,"Samanpura, Patna - BSPCB","11-06-2026 15:00:00",25.596727,85.085624,CO,16,28,25
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","11-06-2026 15:00:00",25.366336,87.117468,PM2.5,45,75,62
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","11-06-2026 15:00:00",25.366336,87.117468,PM10,37,58,49
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","11-06-2026 15:00:00",25.03280,85.41948,PM2.5,28,153,63
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","11-06-2026 15:00:00",25.03280,85.41948,PM10,23,120,58
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","11-06-2026 15:00:00",25.03280,85.41948,CO,34,50,43
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","11-06-2026 15:00:00",25.892357,86.590325,PM2.5,3,116,47
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","11-06-2026 15:00:00",25.892357,86.590325,CO,34,40,39
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","11-06-2026 15:00:00",30.735567,76.775714,PM2.5,20,60,37
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","11-06-2026 15:00:00",30.735567,76.775714,PM10,28,165,71
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","11-06-2026 15:00:00",27.103358,93.679645,OZONE,6,6,6
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","11-06-2026 15:00:00",26.071318,91.87488,OZONE,8,53,35
India,Assam,Guwahati,"IITG, Guwahati - PCBA","11-06-2026 15:00:00",26.2028636,91.70046436,PM10,17,79,49
India,Assam,Guwahati,"IITG, Guwahati - PCBA","11-06-2026 15:00:00",26.2028636,91.70046436,NO2,1,3,1
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","11-06-2026 15:00:00",26.10887,91.589544,PM2.5,32,73,51
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","11-06-2026 15:00:00",26.187500,91.744194,NH3,1,1,1
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","11-06-2026 15:00:00",26.181742,91.78063,OZONE,2,41,14
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","11-06-2026 15:00:00",26.349082,92.68449,OZONE,4,14,11
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","11-06-2026 15:00:00",26.446912,91.439057,PM2.5,NA,NA,NA
India,Assam,Silchar,"Tarapur, Silchar - PCBA","11-06-2026 15:00:00",24.82827,92.79525,NO2,14,17,16
India,Assam,Silchar,"Tarapur, Silchar - PCBA","11-06-2026 15:00:00",24.82827,92.79525,NH3,1,1,1
India,Assam,Silchar,"Tarapur, Silchar - PCBA","11-06-2026 15:00:00",24.82827,92.79525,SO2,6,8,7
India,Assam,Silchar,"Tarapur, Silchar - PCBA","11-06-2026 15:00:00",24.82827,92.79525,CO,23,30,26
India,Assam,Silchar,"Tarapur, Silchar - PCBA","11-06-2026 15:00:00",24.82827,92.79525,OZONE,2,17,7
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","11-06-2026 15:00:00",25.251013,86.989001,SO2,11,73,38
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","11-06-2026 15:00:00",25.265194,87.012947,PM2.5,13,88,34
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","11-06-2026 15:00:00",25.265194,87.012947,SO2,3,30,15
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","11-06-2026 15:00:00",25.204762,85.514960,PM10,9,161,44
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","11-06-2026 15:00:00",25.7808257,84.7446768,CO,103,107,106
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","11-06-2026 15:00:00",24.7955,84.9994,PM2.5,16,213,77
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","11-06-2026 15:00:00",24.7955,84.9994,SO2,6,7,7
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","11-06-2026 15:00:00",24.792403,84.992416,PM10,42,210,106
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","11-06-2026 15:00:00",24.792403,84.992416,CO,23,30,28
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","11-06-2026 15:00:00",24.762518,84.982348,PM2.5,54,78,65
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","11-06-2026 15:00:00",25.697189,85.245900,CO,10,24,16
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","11-06-2026 15:00:00",25.560083,87.553265,NO2,2,10,9
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","11-06-2026 15:00:00",25.560083,87.553265,NH3,1,1,1
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","11-06-2026 15:00:00",30.735567,76.775714,NH3,7,13,9
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","11-06-2026 15:00:00",30.735567,76.775714,SO2,7,20,11
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","11-06-2026 15:00:00",30.751462,76.762879,NO2,3,72,14
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","11-06-2026 15:00:00",30.751462,76.762879,SO2,6,14,9
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","11-06-2026 15:00:00",30.751462,76.762879,CO,12,60,15
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","11-06-2026 15:00:00",30.719859,76.738637,PM10,NA,NA,NA
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","11-06-2026 15:00:00",21.194815,81.314770,SO2,3,16,10
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","11-06-2026 15:00:00",21.185571,81.343175,PM10,18,43,25
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","11-06-2026 15:00:00",21.224231,81.408350,NO2,14,62,27
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","11-06-2026 15:00:00",21.224231,81.408350,OZONE,6,22,19
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","11-06-2026 15:00:00",22.08815,82.13737,CO,9,152,38
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","11-06-2026 15:00:00",22.118125,83.140608,CO,16,56,37
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","11-06-2026 15:00:00",22.368195,82.746431,PM10,11,34,27
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","11-06-2026 15:00:00",28.647622,77.3158090,NO2,34,115,61
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","11-06-2026 15:00:00",28.695381,77.181665,OZONE,2,52,28
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM","11-06-2026 15:00:00",28.4706914,77.1099364,CO,15,98,74
India,Delhi,Delhi,"Bawana, Delhi - DPCC","11-06-2026 15:00:00",28.776200,77.051074,PM2.5,15,237,96
India,Delhi,Delhi,"Bawana, Delhi - DPCC","11-06-2026 15:00:00",28.776200,77.051074,NH3,5,8,6
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM","11-06-2026 15:00:00",28.7256504,77.2011573,NO2,8,63,27
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM","11-06-2026 15:00:00",28.7256504,77.2011573,CO,58,105,68
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ","11-06-2026 15:00:00","28.594169 ","77.125100 ",PM2.5,28,376,117
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ","11-06-2026 15:00:00","28.594169 ","77.125100 ",NH3,1,4,2
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","11-06-2026 15:00:00",28.656756,77.227234,SO2,5,48,24
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","11-06-2026 15:00:00","28.615828 ","77.271992 ",NO2,9,81,38
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","11-06-2026 15:00:00","28.615828 ","77.271992 ",SO2,7,8,7
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","11-06-2026 15:00:00","14.438164 ","79.966814 ",NH3,5,7,6
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","11-06-2026 15:00:00","14.438164 ","79.966814 ",CO,25,91,48
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","11-06-2026 15:00:00","14.438164 ","79.966814 ",OZONE,30,50,35
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","11-06-2026 15:00:00",13.615387,79.409230,NO2,31,41,35
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","11-06-2026 15:00:00",13.615387,79.409230,NH3,4,6,4
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","11-06-2026 15:00:00",13.615387,79.409230,SO2,12,17,16
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","11-06-2026 15:00:00",16.536107,80.594233,NO2,17,25,19
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","11-06-2026 15:00:00",16.486692,80.699436,CO,18,34,28
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","11-06-2026 15:00:00",16.554731,80.649110,NH3,3,5,4
